Type,Name,JDate,Lat,Lon,Magnitude,Origin,Depth,Duration
DM,14,2441141.845833333,-29.6,-44.4,0,levent.1008weber,933.0,42.0
DM,19,2441143.492361111,27.7,34.4,0,levent.1008weber,974.0,26.0
DM,29,2441153.1791666667,53.4,60.9,0,levent.1008weber,1077.0,22.0
DM,9,2441153.390972222,-6.0,-19.7,0,levent.1008weber,1037.0,22.0
DM,9,2441154.8881944446,-6.0,-19.7,0,levent.1008weber,1037.0,31.0
DM,27,2441156.5416666665,23.0,20.4,0,levent.1008weber,1085.0,15.0
DM,16,2441157.6020833333,7.5,6.3,0,levent.1008weber,1019.0,28.0
DM,39,2441157.951388889,-21.9,-12.7,0,levent.1008weber,933.0,25.0
DM,39,2441158.872916667,-21.9,-12.7,0,levent.1008weber,933.0,23.0
DM,18,2441166.077777778,23.3,32.7,0,levent.1008weber,925.0,18.0
DM,1,2441167.8020833335,-15.7,-36.6,0,levent.1008weber,867.0,30.0
DM,7,2441168.061111111,25.0,53.2,0,levent.1008weber,893.0,27.0
DM,1,2441168.626388889,-15.7,-36.6,0,levent.1008weber,867.0,18.0
DM,14,2441169.152083333,-29.6,-44.4,0,levent.1008weber,933.0,31.0
DM,1,2441169.8055555555,-15.7,-36.6,0,levent.1008weber,867.0,45.0
DM,19,2441170.138888889,27.7,34.4,0,levent.1008weber,974.0,15.0
DM,10,2441180.5854166667,-35.7,-40.3,0,levent.1008weber,988.0,27.0
DM,9,2441180.8076388887,-6.0,-19.7,0,levent.1008weber,1037.0,27.0
DM,25,2441182.1333333333,35.1,59.8,0,levent.1008weber,924.0,28.0
DM,9,2441182.4319444443,-6.0,-19.7,0,levent.1008weber,1037.0,43.0
DM,8,2441183.8152777776,-23.7,-35.5,0,levent.1008weber,1086.0,36.0
DM,16,2441184.523611111,7.5,6.3,0,levent.1008weber,1019.0,31.0
DM,27,2441184.5708333333,23.0,20.4,0,levent.1008weber,1085.0,28.0
DM,39,2441185.511111111,-21.9,-12.7,0,levent.1008weber,933.0,27.0
DM,39,2441186.44375,-21.9,-12.7,0,levent.1008weber,933.0,36.0
DM,11,2441190.7548611113,9.2,17.5,0,levent.1008weber,1187.0,33.0
DM,18,2441193.215277778,23.3,32.7,0,levent.1008weber,925.0,40.0
DM,26,2441193.484722222,14.3,5.2,0,levent.1008weber,1122.0,27.0
DM,18,2441194.263888889,23.3,32.7,0,levent.1008weber,925.0,40.0
DM,7,2441195.215277778,25.0,53.2,0,levent.1008weber,893.0,30.0
DM,19,2441197.3465277776,27.7,34.4,0,levent.1008weber,974.0,26.0
DM,1,2441197.466666667,-15.7,-36.6,0,levent.1008weber,867.0,46.0
DM,29,2441208.4833333334,53.4,60.9,0,levent.1008weber,1077.0,34.0
DM,9,2441209.8694444443,-6.0,-19.7,0,levent.1008weber,1037.0,0
DM,34,2441209.9465277777,6.8,-7.2,0,levent.1008weber,971.0,27.0
DM,32,2441210.091666667,25.0,43.6,0,levent.1008weber,944.0,0
DM,28,2441210.2354166666,8.1,10.3,0,levent.1008weber,933.0,0
DM,25,2441210.2625,35.1,59.8,0,levent.1008weber,924.0,42.0
DM,16,2441211.970833333,7.5,6.3,0,levent.1008weber,1019.0,37.0
DM,8,2441212.922222222,-23.7,-35.5,0,levent.1008weber,1086.0,52.0
DM,39,2441213.140277778,-21.9,-12.7,0,levent.1008weber,933.0,33.0
DM,8,2441213.254166667,-23.7,-35.5,0,levent.1008weber,1086.0,0
DM,27,2441213.2729166667,23.0,20.4,0,levent.1008weber,1085.0,32.0
DM,33,2441215.790972222,5.1,115.8,0,levent.1008weber,877.0,24.0
DM,11,2441217.7916666665,9.2,17.5,0,levent.1008weber,1187.0,20.0
DM,26,2441220.589583333,14.3,5.2,0,levent.1008weber,1122.0,21.0
DM,18,2441220.8041666667,23.3,32.7,0,levent.1008weber,925.0,32.0
DM,35,2441221.623611111,5.0,36.1,0,levent.1008weber,933.0,0
DM,17,2441221.6305555557,25.5,-21.9,0,levent.1008weber,807.0,22.0
DM,38,2441221.675,7.8,43.3,0,levent.1008weber,1031.0,18.0
DM,18,2441222.1375,23.3,32.7,0,levent.1008weber,925.0,0
DM,22,2441222.3958333335,21.6,43.6,0,levent.1008weber,788.0,25.0
DM,7,2441223.534722222,25.0,53.2,0,levent.1008weber,893.0,20.0
DM,1,2441225.35625,-15.7,-36.6,0,levent.1008weber,867.0,17.0
DM,15,2441226.3041666667,0.7,-3.9,0,levent.1008weber,747.0,22.0
DM,34,2441237.75,6.8,-7.2,0,levent.1008weber,971.0,25.0
DM,25,2441237.9680555556,35.1,59.8,0,levent.1008weber,924.0,31.0
DM,32,2441238.090277778,25.0,43.6,0,levent.1008weber,944.0,20.0
DM,28,2441239.769444444,8.1,10.3,0,levent.1008weber,933.0,32.0
DM,16,2441240.445138889,7.5,6.3,0,levent.1008weber,1019.0,29.0
DM,39,2441241.8125,-21.9,-12.7,0,levent.1008weber,933.0,30.0
DM,27,2441242.086111111,23.0,20.4,0,levent.1008weber,1085.0,0
DM,8,2441243.8604166666,-23.7,-35.5,0,levent.1008weber,1086.0,36.0
DM,33,2441244.345138889,5.1,115.8,0,levent.1008weber,877.0,33.0
DM,11,2441245.8819444445,9.2,17.5,0,levent.1008weber,1187.0,30.0
DM,18,2441248.070138889,23.3,32.7,0,levent.1008weber,925.0,29.0
DM,18,2441250.10625,23.3,32.7,0,levent.1008weber,925.0,47.0
DM,22,2441250.2430555555,21.6,43.6,0,levent.1008weber,788.0,25.0
DM,1,2441250.5055555557,-15.7,-36.6,0,levent.1008weber,867.0,24.0
